City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Thinadhoo,0.5333,72.9333,80.62,79,88,7.05,MV,1639706521
Lüderitz,-26.6481,15.1594,60.15,75,97,14.47,NA,1639706432
Isangel,-19.55,169.2667,80.51,50,1,13.82,VU,1639706521
Poum,-20.2333,164.0167,78.1,71,54,14.05,NC,1639706521
Champasak,14.75,106.0,82.58,62,54,1.12,LA,1639706522
Kruisfontein,-34.0033,24.7314,53.89,71,98,5.88,ZA,1639706361
Wamba,8.9333,8.6,71.22,27,70,4.94,NG,1639706524
Khatanga,71.9667,102.5,-15.41,99,100,4.72,RU,1639706434
Boa Vista,2.8197,-60.6733,82.38,69,40,10.36,BR,1639706524
Saldanha,-33.0117,17.9442,60.57,64,0,16.46,ZA,1639706342
Esso,55.9333,158.7,2.68,95,88,2.48,RU,1639706525
Northam,51.0333,-4.2167,45.93,86,0,6.98,GB,1639706526
Yar-Sale,66.8333,70.8333,-8.86,90,100,8.88,RU,1639706526
Rome,43.2128,-75.4557,61.38,64,100,7.0,US,1639706408
Totness,5.8833,-56.3167,76.78,90,100,7.43,SR,1639706526
Monrovia,6.3005,-10.7969,79.41,81,64,5.75,LR,1639706527
Burnie,-41.0667,145.9167,67.95,53,57,7.34,AU,1639706527
Marsabit,2.3284,37.9899,63.09,89,100,14.18,KE,1639706528
Port Hedland,-20.3167,118.5667,95.05,52,0,16.11,AU,1639706488
Cidreira,-30.1811,-50.2056,68.36,91,22,9.35,BR,1639706427
Chacabuco,-34.6417,-60.4739,67.8,68,0,11.99,AR,1639706438
Vardø,70.3705,31.1107,36.19,81,100,13.31,NO,1639706529
Eureka,40.8021,-124.1637,46.13,91,28,3.74,US,1639706529
Ambilobe,-13.2,49.05,71.8,90,0,3.36,MG,1639706529
Nyagan,62.1406,65.3936,10.0,97,100,2.86,RU,1639706530
Pilibanga,29.4916,74.079,48.49,40,0,4.47,IN,1639706530
Flinders,-34.5833,150.8552,74.64,70,27,10.8,AU,1639706530
Alta,69.9689,23.2717,27.66,100,90,3.44,NO,1639706590
Zonguldak,41.25,31.8333,32.77,90,90,6.51,TR,1639706591
Clyde River,70.4692,-68.5914,-27.6,89,20,2.98,CA,1639706533
Suffolk,40.8668,-72.7996,54.59,81,1,7.0,US,1639706591
Kahului,20.8947,-156.47,77.68,77,20,14.97,US,1639706591
Condado,21.8767,-79.8403,75.36,90,19,9.42,CU,1639706592
Trairi,-3.2778,-39.2689,80.8,75,3,14.74,BR,1639706455
Hofn,64.2539,-15.2082,43.02,82,28,19.57,IS,1639706592
Rockport,28.0206,-97.0544,73.8,95,1,5.01,US,1639706592
Tiruchchendur,8.4833,78.1167,80.89,78,75,16.46,IN,1639706593
Souillac,-20.5167,57.5167,75.36,83,7,7.36,MU,1639706502
Altay,47.8667,88.1167,5.2,80,95,6.51,CN,1639706593
Kapuskasing,49.4169,-82.4331,32.09,100,90,13.8,CA,1639706593
Nanortalik,60.1432,-45.2371,23.52,80,100,10.09,GL,1639706594
Impfondo,1.6381,18.0667,71.71,95,98,1.74,CG,1639706594
Pevek,69.7008,170.3133,-7.73,87,100,2.13,RU,1639706490
Sisimiut,66.9395,-53.6735,10.6,85,87,10.04,GL,1639706594
Mar del Plata,-38.0023,-57.5575,68.09,85,3,5.01,AR,1639706595
Lukulu,-14.3707,23.242,64.42,94,100,3.94,ZM,1639706595
Fairbanks,64.8378,-147.7164,2.71,80,90,0.0,US,1639706485
Shihezi,44.3,86.0333,13.55,96,95,1.39,CN,1639706417
Dikson,73.5069,80.5464,-24.02,99,24,7.65,RU,1639706596
Giohar,2.7809,45.5005,74.84,86,37,10.63,SO,1639706596
Lethem,3.3803,-59.7968,79.97,71,98,10.2,GY,1639706596
Yārāda,17.65,83.2667,66.52,82,40,3.44,IN,1639706597
Gazli,40.1333,63.45,34.88,60,4,10.45,UZ,1639706597
Avarua,-21.2078,-159.775,84.25,70,20,11.5,CK,1639706597
Prado,-17.3411,-39.2208,75.25,92,73,7.94,BR,1639706597
Asău,46.4333,26.4,38.3,91,96,4.23,RO,1639706598
Verkh-Usugli,52.7,115.1667,-9.89,87,71,2.53,RU,1639706598
Carahue,-38.7,-73.1667,59.2,84,0,3.06,CL,1639706598
Tual,-5.6667,132.75,84.11,73,82,6.49,ID,1639706598
Bambous Virieux,-20.3428,57.7575,75.22,79,26,8.08,MU,1639706599
Vredendal,-31.6683,18.5012,66.34,46,0,22.5,ZA,1639706599
Goderich,43.7501,-81.7165,40.17,66,6,31.29,CA,1639706570
High Rock,26.6208,-78.2833,66.22,71,13,12.88,BS,1639706600
Mount Isa,-20.7333,139.5,100.17,25,5,5.75,AU,1639706405
Banda Aceh,5.5577,95.3222,80.92,81,100,8.32,ID,1639706600
Cayenne,4.9333,-52.3333,81.09,87,40,3.0,GF,1639706593
Ouagadougou,12.3642,-1.5383,73.13,15,72,9.6,BF,1639706600
Pedernales,18.0384,-71.744,77.4,65,7,6.89,DO,1639706601
Katsuura,35.1333,140.3,52.18,87,82,9.91,JP,1639706530
Barra do Garças,-15.89,-52.2567,71.74,99,100,4.07,BR,1639706601
Boston,42.3584,-71.0598,54.63,70,100,4.0,US,1639706337
Mahrīz,31.5917,54.4318,42.85,34,66,2.66,IR,1639706603
Glasgow,55.8652,-4.2576,44.6,96,90,1.14,GB,1639706569
Dengzhou,37.8086,120.7508,27.3,51,100,28.32,CN,1639706603
Saskylakh,71.9167,114.0833,-32.73,100,70,2.73,RU,1639706603
Louiseville,46.2559,-72.9415,58.8,98,100,9.01,CA,1639706604
Phuket,8.0,98.25,82.62,69,40,2.3,TH,1639706464
Los Llanos de Aridane,28.6585,-17.9182,57.13,79,20,7.0,ES,1639706596
Hohhot,40.8106,111.6522,6.31,39,0,4.38,CN,1639706629
Talnakh,69.4865,88.3972,-33.57,99,53,0.81,RU,1639706665
Mehamn,71.0357,27.8492,29.05,91,93,4.25,NO,1639706666
Villarrica,-25.75,-56.4333,80.55,42,0,7.9,PY,1639706606
Ancud,-41.8697,-73.8203,53.13,88,0,4.5,CL,1639706640
Gazojak,41.1875,61.4036,34.54,65,2,12.57,TM,1639706667
Fasa,28.9383,53.6482,45.75,51,99,0.89,IR,1639706646
Constitución,-35.3333,-72.4167,56.64,82,65,3.31,CL,1639706647
San Quintín,30.4833,-115.95,56.75,74,0,20.92,MX,1639706667
Torbay,47.6666,-52.7314,17.28,65,9,4.7,CA,1639706668
Hamilton,39.1834,-84.5333,47.79,91,20,4.0,US,1639706591
Alofi,-19.0595,-169.9187,85.89,70,75,9.22,NU,1639706668
Wangqing,43.3218,129.7634,5.31,53,34,11.81,CN,1639706668
Kongsberg,59.6652,9.6465,25.29,89,60,4.07,NO,1639706669
Svecha,58.2785,47.5164,28.65,98,100,4.65,RU,1639706669
Songjianghe,42.1859,127.479,-0.17,71,100,11.05,CN,1639706669
Tongchuanshi,35.0806,109.0897,28.96,29,100,4.36,CN,1639706628
Melfort,52.8667,-104.6177,-12.15,99,85,5.64,CA,1639706670
Liku,-0.7275,119.8922,88.84,57,73,2.86,ID,1639706670
Sinnamary,5.3833,-52.95,76.91,91,89,6.78,GF,1639706670
La Libertad,-2.2333,-80.9,71.53,84,100,11.12,EC,1639706626
Ōhara,35.25,140.3833,47.16,85,97,9.93,JP,1639706671
Husum,54.4858,9.0524,41.77,91,5,6.58,DE,1639706593
Cuauhtémoc,28.4167,-106.8667,55.94,28,100,7.87,MX,1639706671
Ilulissat,69.2167,-51.1,15.82,73,75,11.5,GL,1639706671
Qandala,11.472,49.8728,75.97,83,64,11.1,SO,1639706672
Laas,46.6166,10.7002,32.36,62,12,3.2,IT,1639706672
Marzuq,14.4,46.4667,56.77,61,23,1.86,YE,1639706673
Fort Saint James,54.4333,-124.25,3.51,90,80,3.42,CA,1639706673
Mahina,-17.5065,-149.489,85.77,66,75,2.3,PF,1639706673
Saint Paul Harbor,57.79,-152.4072,31.77,91,100,8.12,US,1639706423
Abalak,58.1286,68.5944,21.43,96,100,5.75,RU,1639706674
Verāval,20.9,70.3667,63.09,42,6,14.45,IN,1639706674
Inhambane,-23.865,35.3833,73.17,90,100,9.6,MZ,1639706675
Karpathos,35.507,27.2132,51.76,76,36,18.41,GR,1639706675
São João da Barra,-21.6403,-41.0511,75.78,92,100,8.19,BR,1639706668
Ixtapa,20.7,-105.2,74.23,87,23,1.01,MX,1639706643
Atar,20.5169,-13.0499,67.8,20,7,2.71,MR,1639706676
Anadyr,64.75,177.4833,-5.01,76,20,8.01,RU,1639706381
Colwyn Bay,53.2948,-3.7267,47.64,88,0,3.0,GB,1639706677
Vila,42.0304,-8.1588,45.12,51,48,6.64,PT,1639706678
Solnechnyy,50.7214,136.6319,-14.22,85,100,3.74,RU,1639706678
San Cristobal,7.7669,-72.225,68.18,97,100,0.6,VE,1639706601
Moindou,-21.6924,165.677,84.15,56,14,11.23,NC,1639706678
Mana,5.6592,-53.7767,77.16,88,95,6.58,GF,1639706679
Vila Franca do Campo,37.7167,-25.4333,65.19,85,100,19.15,PT,1639706628
Timaru,-44.4,171.25,55.31,82,100,7.43,NZ,1639706407
Hiratachō,35.4333,132.8167,47.79,59,78,26.89,JP,1639706582
Dabat,12.9842,37.765,51.89,41,9,4.54,ET,1639706680
Pitanga,-24.7572,-51.7614,66.45,96,99,3.06,BR,1639706653
Nabire,-3.3667,135.4833,74.17,97,100,2.33,ID,1639706740
Carballo,43.213,-8.691,43.95,73,12,3.18,ES,1639706740
Artyom,40.4723,50.333,48.34,89,100,11.1,AZ,1639706741
Dibulla,11.2725,-73.3091,78.53,78,100,12.77,CO,1639706742
Tuatapere,-46.1333,167.6833,61.83,57,51,15.57,NZ,1639706500
Adrar,20.5022,-10.0711,71.51,23,100,1.21,MR,1639706498
Hong Kong,22.2855,114.1577,74.01,73,100,1.99,HK,1639706668
Forsytheganj,52.6333,29.7333,35.65,84,100,10.04,BY,1639706744
Ostrovnoy,68.0531,39.5131,28.67,94,100,10.63,RU,1639706744
Mahébourg,-20.4081,57.7,75.25,80,18,8.21,MU,1639706744
Makkah al Mukarramah,21.4267,39.8261,71.42,82,100,3.38,SA,1639706745
Coahuayana Viejo,18.7333,-103.6833,74.73,91,11,0.45,MX,1639706745
Ende,-8.8432,121.6623,88.11,64,64,2.86,ID,1639706599
Araouane,18.9048,-3.5265,73.83,20,41,9.64,ML,1639706746
Taoudenni,22.6783,-3.9836,74.77,25,6,7.25,ML,1639706747
Bandarbeyla,9.4942,50.8122,76.89,80,100,13.98,SO,1639706636
Arraial do Cabo,-22.9661,-42.0278,76.59,89,86,6.44,BR,1639706653
Chingirlau,51.095,54.0814,21.56,97,57,5.03,KZ,1639706748
Walvis Bay,-22.9575,14.5053,56.08,90,0,2.89,NA,1639706703
Hithadhoo,-0.6,73.0833,82.02,74,77,5.73,MV,1639706749
Safaga,26.7292,33.9365,62.35,51,100,11.61,EG,1639706749
Saint-Joseph,-21.3667,55.6167,73.08,77,26,3.42,RE,1639706749
Dunedin,-45.8742,170.5036,56.8,77,39,5.99,NZ,1639706749
Am Timan,11.0297,20.2827,73.69,31,99,5.19,TD,1639706750
Navahrudak,53.6,25.8333,34.11,90,100,13.96,BY,1639706667
Bundaberg,-24.85,152.35,86.22,53,4,5.99,AU,1639706751
Boden,65.8252,21.6886,35.6,69,59,12.41,SE,1639706605
Chimbote,-9.0853,-78.5783,68.04,82,56,6.04,PE,1639706752
Bethel,41.3712,-73.414,54.46,63,100,4.0,US,1639706753
Mandalgovi,45.7625,106.2708,-1.01,74,12,9.86,MN,1639706753
Lorengau,-2.0226,147.2712,84.29,73,100,2.42,PG,1639706753
Lokosovo,61.1333,74.8167,10.11,96,100,5.99,RU,1639706753
Costa Rica,-23.4167,-54.65,78.93,65,3,4.74,BR,1639706754
Nizwá,22.9333,57.5333,58.87,58,53,1.9,OM,1639706592
Ust-Kuyga,70.0167,135.6,-48.17,100,99,1.07,RU,1639706754
Humberto de Campos,-2.5983,-43.4611,79.48,82,86,7.92,BR,1639706755
Hope,33.6671,-93.5916,65.59,97,90,1.61,US,1639706755
Zunyi,27.6867,106.9072,41.9,92,100,8.86,CN,1639706628
Staritsa,56.5075,34.9354,32.58,96,100,5.73,RU,1639706756
Salalah,17.0151,54.0924,71.69,60,0,6.91,OM,1639706756
Porto-Novo,6.4965,2.6036,77.92,86,30,3.53,BJ,1639706756
Pisco,-13.7,-76.2167,68.05,77,0,11.5,PE,1639706757
Buluang,13.3068,123.3425,80.92,87,100,10.09,PH,1639706757
Beloha,-25.1667,45.05,72.95,90,48,6.24,MG,1639706757
Taungdwingyi,20.0167,95.55,68.16,61,9,6.26,MM,1639706703
Līsakovsk,52.5369,62.4936,27.12,92,100,12.19,KZ,1639706758
Abadan,38.0507,58.2056,43.11,30,7,1.88,TM,1639706616
Dayong,25.0209,118.2898,68.9,83,96,5.64,CN,1639706758
Kodinsk,58.6881,99.1844,12.04,94,100,7.0,RU,1639706758
Codrington,-38.2667,141.9667,87.82,19,100,8.7,AU,1639706819
Turbat,26.0023,63.044,54.5,16,1,9.33,PK,1639706819
Horn Lake,34.9554,-90.0348,54.72,92,90,8.99,US,1639706652
Peace River,56.2501,-117.286,-9.83,97,66,1.5,CA,1639706820
Constantine,36.365,6.6147,42.08,73,0,1.48,DZ,1639706607
Laguna,38.421,-121.4238,46.45,87,1,3.0,US,1639706821
Shingū,33.7333,135.9833,56.32,65,72,12.19,JP,1639706821
Geraldton,-28.7667,114.6,73.81,53,75,11.5,AU,1639706822
Huambo,-12.7761,15.7392,60.64,98,100,4.47,AO,1639706602
La Ronge,55.1001,-105.2842,-14.71,99,15,5.35,CA,1639706700
Natal,-5.795,-35.2094,79.45,83,40,4.61,BR,1639706611
Port-Gentil,-0.7193,8.7815,79.41,79,100,7.14,GA,1639706823
Broome,42.2506,-75.833,58.57,60,90,1.99,US,1639706823
Lata,40.1629,-8.3327,50.27,70,2,5.93,PT,1639706823
Okhotsk,59.3833,143.3,-6.86,83,100,14.61,RU,1639706823
Gavrilovka,49.9833,36.05,32.4,100,90,6.71,UA,1639706824
Qui Nhon,13.7667,109.2333,75.7,86,100,13.82,VN,1639706762
Planeta Rica,8.4147,-75.5883,76.75,92,100,9.22,CO,1639706824
Elko,41.0002,-115.5012,24.82,93,9,4.97,US,1639706824
Kifrī,34.6959,44.9661,58.66,68,100,8.48,IQ,1639706682
College,64.8569,-147.8028,2.62,81,90,0.0,US,1639706825
Leningradskiy,69.3833,178.4167,-16.56,98,100,1.16,RU,1639706825
São Filipe,14.8961,-24.4956,73.83,73,73,4.59,CV,1639706663
Sambalpur,21.45,83.9667,61.56,61,94,3.51,IN,1639706818
Mata,40.683,-7.4592,45.81,78,4,4.29,PT,1639706826
Turukhansk,65.8167,87.9833,-24.43,100,100,2.91,RU,1639706827
Deputatsky,69.3,139.9,-35.03,94,93,3.04,RU,1639706827
